url;threatType;platformType;threatEntryType
askcom.me;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
budgement.info;MALWARE;ANY_PLATFORM;URL
firstinst.com;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
fesd.gdn;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
recruining.info;MALWARE;ANY_PLATFORM;URL
ssl2anyone2.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
xossip.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
streesusa.info;MALWARE;ANY_PLATFORM;URL
ssl4anyone.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
cloudscar.com;MALWARE;ANY_PLATFORM;URL
kedx.gdn;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
theperfectserverforvideoandaudiopcandmac.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
mejorenvo.com;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
system-notification.online;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
apunkagames.net;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
safe-surfing.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
quoo4ae.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ssiapawz.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
l161c.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
soft-centresystemspcandmacalikes.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
perfectcodeforfreedeveloped4you.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
bludv.com;MALWARE;ANY_PLATFORM;URL
noteupgradesystemfree4systemsmacandpc.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
fanwenwangzhan.com;MALWARE;ANY_PLATFORM;URL
getdlmacfiles.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
jqhnt.com.cn;MALWARE;ANY_PLATFORM;URL
ljfyg68.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
fin-money.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
x1sdwn8.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
mycelebritydaily.com;MALWARE;ANY_PLATFORM;URL
gerolakk.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
gossiplab.com;MALWARE;ANY_PLATFORM;URL
successt7.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
nomaruta.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ultimatesetnewfreeallsoftupgradesystems.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
soft-centresystemspcandmacalikes.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
footystream.xyz;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
hienzo.com;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
btdog.com;MALWARE;ANY_PLATFORM;URL
lastworkingfreeforpcandmacalike.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
sd173.com;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
finishedupdatefreeforsystemsmacandpc.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newsandtechadviceset4video.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
livesupdatesfreeforsyspcandmacalike.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
hikore.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newsandtechadviceset4video.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
livecheckultimateformacandpc.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newsandtechadviceset4video.download;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newsandtechadviceset4video.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
yeabests.cc;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thepiratebay.se.net;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
rebulus.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
hanghangq.com;MALWARE;ANY_PLATFORM;URL
theperfectsoftsystems-4videopcandmac.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
sos110.com;MALWARE;ANY_PLATFORM;URL
nowgetsoftfreeforsystemssetpcandmac.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
livecheck247updatefreeforsystemspcandmacalike.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newsandtechadviceset4video.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
goodideas.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
get24updatesysforpcandmac.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
qubic.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
simplecd.wang;MALWARE;ANY_PLATFORM;URL
bdyunso.com;MALWARE;ANY_PLATFORM;URL
learn2upgradefreeforpcandmacalike.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
get24updatesysforpcandmac.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
theperfectserver4videoandaudiopcandmac.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
largame.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
theperfectserverforvideoandaudiopcandmac.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
theperfectsoftsystems-4videopcandmac.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
updatenewfree4pcandmac.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
finishedupdatefreeforsystemsmacandpc.download;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
finishedupdatefreeforsystemsmacandpc.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
hot023.com;MALWARE;ANY_PLATFORM;URL
qimila.top;MALWARE;ANY_PLATFORM;URL
mp4pa.com;MALWARE;ANY_PLATFORM;URL
anjian.com;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
settimer.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
76mi.com;MALWARE;ANY_PLATFORM;URL
livecheck247updatefreeforsystemspcandmacalike.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newsoftreadyfreeforsystemspcandmac.download;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
pwjaagau.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
sosibabu.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newsoftreadyfreeforsystemspcandmac.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
theperfectserver4videoandaudiopcandmac.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ready4newsoftsysforpcandmac.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
82628.com;MALWARE;ANY_PLATFORM;URL
theperfectsoftsystems-forvideopcandmacs.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
fbuilton.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
xep3gae.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
tousu.org.cn;MALWARE;ANY_PLATFORM;URL
nikulus.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
hanoix.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
facessas.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
kyma3bt.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
alwaysnewpreparedformacandpc.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
bridgeit.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
tnrockers.me;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
nowfree4systemmacandpc.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
cshort.org;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
gallony.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
whenupgradesysformacandpc.download;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
51-online.com;MALWARE;ANY_PLATFORM;URL
stableworkingfreeforpcandmacalikes.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
yomatoclock.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
shoubiao.com.cn;MALWARE;ANY_PLATFORM;URL
stableworkingfreeforpcandmacalikes.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
hljdns4.cn;MALWARE;ANY_PLATFORM;URL
alwaysnewpreparedformacandpc.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ultimatesetnewfreeallsoftupgradesystems.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newupgradesystemfree4systemsmacandpc.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newalwaysfreeforsystemspcandmac.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
nowcheckfree4systemmacandpc.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
vav.kr;MALWARE;ANY_PLATFORM;URL
theperfectserverforvideoandaudiopcandmac.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
bjbyjg.com;MALWARE;ANY_PLATFORM;URL
dokijo.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
fieldkono.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
xiaohx.net;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
newsandtechadvicesset4video.download;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
getyourupdatesthatyouwilllovenow.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
nowgetsoftfreeforsystemssetpcandmac.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
hockeyext.xyz;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
panbaidu.net;MALWARE;ANY_PLATFORM;URL
setting4upgradefreeforsystemsmacandpc.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
lastworkingfreeforpcandmacalike.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
sontrolactions.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
knowledgevoyage.bid;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
thesafestandultimatesoftsystem.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thesafestandultimatesoftsystem.win;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
hdchd.org;MALWARE;ANY_PLATFORM;URL
kolinlolize.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
sahzaxan.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
readygosysforpcandmac.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
mokiloka.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
fbuildly.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
24check4updatesfreeforsystemspcandmacalike.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
fbuildied.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
preparevideosafesystem4unow.space;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
up07.me;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
whenupgradepreparedforpcandmac.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
livecheck2updatefreeforsystemspcandmacalike.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
hotelvertelhotel.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thesafestandultimate-softsystem.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
canvasstone.bid;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
movieloverz.org;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
eex5sao.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
fbquizely.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
iidvd.com;MALWARE;ANY_PLATFORM;URL
alwaysnewsysformacandpc.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newsandtechadvicesset4.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
za9ahfi.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
yunlaige.com;MALWARE;ANY_PLATFORM;URL
neweasysofttoigetalwaysfree.online;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newsoftreadyfreeforsystemspcandmac.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
preparevideosafesystem4unow.site;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
stableworkingfreeforpcandmacalikes.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
nomike.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thesafestandultimate-softsystem.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
livecheck247updatefreeforsystemspcandmacalike.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
yaisha0.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
magwu.com;MALWARE;ANY_PLATFORM;URL
quizlyfb.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
theninja.technology;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
laomaotao.net;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
whenupgradesysformacandpc.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
jokiloma.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ultimatesetnewfreeforallupdatesystems.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
upgrade4lifesysformacandpc.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ninjafile.technology;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
169ol.com;MALWARE;ANY_PLATFORM;URL
kaktakto.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
updatenewsysforpcandmac.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
jalshamoviez.in;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
521mx.cn;MALWARE;ANY_PLATFORM;URL
sharemodest.com;MALWARE;ANY_PLATFORM;URL
nowcheckfree4systemmacandpc.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
livecheck247updatefreeforsystemspcandmacalike.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ifukua.com;MALWARE;ANY_PLATFORM;URL
fboation.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
copequizer.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
alwaysnewpreparedformacandpc.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
groanoftedium.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
nowinstallupgradefreeforsystemssetpcandmac.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ifile.ninja;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
fbuildi.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
